SR No,출처,파일목록,공정,Tag No 수정,카테고리,클래스,타입,C|C|T
DOF522002061,1.0PID,"B7S38-522-S0002,Column Data Sheet.xlsx,D-522-A208,HCR팀 - 522-LUBE OIL UNIT,설비포탈",522,522-C-108,FIXED EQUIPMENT,VESSEL,COLUMN,FIXED EQUIPMENT|VESSEL|COLUMN
DOF522004113,1.0PID,"Column Data Sheet.xlsx,D-522-A205,HCR팀 - 522-LUBE OIL UNIT,설비포탈",522,522-C-106,FIXED EQUIPMENT,VESSEL,COLUMN,FIXED EQUIPMENT|VESSEL|COLUMN
DOF522005601,1.0PID,"Column Data Sheet.xlsx,D-522-A212,HCR팀 - 522-LUBE OIL UNIT,설비포탈",522,522-C-109,FIXED EQUIPMENT,VESSEL,COLUMN,FIXED EQUIPMENT|VESSEL|COLUMN
DOF522000246,1.0PID,"B7S38-522-A701,HCR팀 - 522-LUBE OIL UNIT,Pressure Vessel Data Sheet.xlsx,설비포탈",522,522-C-157,FIXED EQUIPMENT,VESSEL,HORIZONTAL,FIXED EQUIPMENT|VESSEL|HORIZONTAL
DOF522000344,1.0PID,"B7S38-522-A711,HCR팀 - 522-LUBE OIL UNIT,Pressure Vessel Data Sheet.xlsx,설비포탈",522,522-C-150,FIXED EQUIPMENT,VESSEL,HORIZONTAL,FIXED EQUIPMENT|VESSEL|HORIZONTAL
DOF522000422,1.0PID,"B7S38-522-A721,B7S38-522-A901,HCR팀 - 522-LUBE OIL UNIT,Pressure Vessel Data Sheet.xlsx,설비포탈",522,522-C-156,FIXED EQUIPMENT,VESSEL,HORIZONTAL,FIXED EQUIPMENT|VESSEL|HORIZONTAL
DOF522003074,1.0PID,"D-522-A108B,HCR팀 - 522-LUBE OIL UNIT,Pressure Vessel Data Sheet.xlsx,설비포탈",522,522-C-502,FIXED EQUIPMENT,VESSEL,HORIZONTAL,FIXED EQUIPMENT|VESSEL|HORIZONTAL
DOF522004245,1.0PID,"D-522-A206,HCR팀 - 522-LUBE OIL UNIT,Pressure Vessel Data Sheet.xlsx,설비포탈",522,522-C-107,FIXED EQUIPMENT,VESSEL,HORIZONTAL,FIXED EQUIPMENT|VESSEL|HORIZONTAL
DOF522005223,1.0PID,"D-522-A209,HCR팀 - 522-LUBE OIL UNIT,Pressure Vessel Data Sheet.xlsx,설비포탈",522,522-C-110,FIXED EQUIPMENT,VESSEL,HORIZONTAL,FIXED EQUIPMENT|VESSEL|HORIZONTAL
DOF522000391,1.0PID,"B7S38-522-A721,HCR팀 - 522-LUBE OIL UNIT,Pressure Vessel Data Sheet.xlsx,설비포탈",522,522-C-155,FIXED EQUIPMENT,VESSEL,VERTICAL,FIXED EQUIPMENT|VESSEL|VERTICAL
DOF522001066,1.0PID,"B7S38-522-A901C,B7S38-522-S0003,D-522-A112,HCR팀 - 522-LUBE OIL UNIT,Pressure Vessel Data Sheet.xlsx,설비포탈",522,522-C-104,FIXED EQUIPMENT,VESSEL,VERTICAL,FIXED EQUIPMENT|VESSEL|VERTICAL
DOF522001439,1.0PID,"B7S38-522-A904,HCR팀 - 522-LUBE OIL UNIT,Pressure Vessel Data Sheet.xlsx,설비포탈",522,522-C-501,FIXED EQUIPMENT,VESSEL,VERTICAL,FIXED EQUIPMENT|VESSEL|VERTICAL
DOF522002166,1.0PID,"B7S38-522-S0003,D-522-A113,HCR팀 - 522-LUBE OIL UNIT,Pressure Vessel Data Sheet.xlsx,설비포탈",522,522-C-105,FIXED EQUIPMENT,VESSEL,VERTICAL,FIXED EQUIPMENT|VESSEL|VERTICAL
DOF522002476,1.0PID,"D-522-A106,HCR팀 - 522-LUBE OIL UNIT,Pressure Vessel Data Sheet.xlsx,설비포탈",522,522-C-101,FIXED EQUIPMENT,VESSEL,VERTICAL,FIXED EQUIPMENT|VESSEL|VERTICAL
DOF522002724,1.0PID,"D-522-A108,HCR팀 - 522-LUBE OIL UNIT,Pressure Vessel Data Sheet.xlsx,설비포탈",522,522-HVD-010,FIXED EQUIPMENT,VESSEL,VERTICAL,FIXED EQUIPMENT|VESSEL|VERTICAL
DOF522002817,1.0PID,"D-522-A108A,HCR팀 - 522-LUBE OIL UNIT,Pressure Vessel Data Sheet.xlsx,설비포탈",522,522-HVD-023,FIXED EQUIPMENT,VESSEL,VERTICAL,FIXED EQUIPMENT|VESSEL|VERTICAL
DOF522002848,1.0PID,"D-522-A108A,HCR팀 - 522-LUBE OIL UNIT,Pressure Vessel Data Sheet.xlsx,설비포탈",522,522-FVD-010,FIXED EQUIPMENT,VESSEL,VERTICAL,FIXED EQUIPMENT|VESSEL|VERTICAL
DOF522003151,1.0PID,"D-522-A108C,HCR팀 - 522-LUBE OIL UNIT,Pressure Vessel Data Sheet.xlsx,설비포탈",522,522-C-504,FIXED EQUIPMENT,VESSEL,VERTICAL,FIXED EQUIPMENT|VESSEL|VERTICAL
DOF522003177,1.0PID,"D-522-A108C,HCR팀 - 522-LUBE OIL UNIT,Pressure Vessel Data Sheet.xlsx,설비포탈",522,522-C-503,FIXED EQUIPMENT,VESSEL,VERTICAL,FIXED EQUIPMENT|VESSEL|VERTICAL
DOF522003860,1.0PID,"D-522-A112,Pressure Vessel Data Sheet.xlsx,Small Injection Tank.xlsx,설비포탈",522,522-HVD-011,FIXED EQUIPMENT,VESSEL,VERTICAL,FIXED EQUIPMENT|VESSEL|VERTICAL
DOF522003870,1.0PID,"D-522-A112,Pressure Vessel Data Sheet.xlsx,설비포탈",522,522-HVD-012,FIXED EQUIPMENT,VESSEL,VERTICAL,FIXED EQUIPMENT|VESSEL|VERTICAL
DOF522004398,1.0PID,"D-522-A207,HCR팀 - 522-LUBE OIL UNIT,Pressure Vessel Data Sheet.xlsx,설비포탈",522,522-HVD-016,FIXED EQUIPMENT,VESSEL,VERTICAL,FIXED EQUIPMENT|VESSEL|VERTICAL
DOF522004479,1.0PID,"D-522-A207A,HCR팀 - 522-LUBE OIL UNIT,Pressure Vessel Data Sheet.xlsx,설비포탈",522,522-FVD-053,FIXED EQUIPMENT,VESSEL,VERTICAL,FIXED EQUIPMENT|VESSEL|VERTICAL
DOF522004494,1.0PID,"D-522-A207A,HCR팀 - 522-LUBE OIL UNIT,Pressure Vessel Data Sheet.xlsx,설비포탈",522,522-C-112,FIXED EQUIPMENT,VESSEL,VERTICAL,FIXED EQUIPMENT|VESSEL|VERTICAL
DOF522004726,1.0PID,"D-522-A207C,HCR팀 - 522-LUBE OIL UNIT,Pressure Vessel Data Sheet.xlsx,설비포탈",522,522-HVD-916,FIXED EQUIPMENT,VESSEL,VERTICAL,FIXED EQUIPMENT|VESSEL|VERTICAL
DOF522004819,1.0PID,"D-522-A207D,HCR팀 - 522-LUBE OIL UNIT,Pressure Vessel Data Sheet.xlsx,설비포탈",522,522-FVD-212,FIXED EQUIPMENT,VESSEL,VERTICAL,FIXED EQUIPMENT|VESSEL|VERTICAL
DOF522005191,1.0PID,"D-522-A209,HCR팀 - 522-LUBE OIL UNIT,Pressure Vessel Data Sheet.xlsx,설비포탈",522,522-C-113,FIXED EQUIPMENT,VESSEL,VERTICAL,FIXED EQUIPMENT|VESSEL|VERTICAL
DOF522005435,1.0PID,"D-522-A209A,HCR팀 - 522-LUBE OIL UNIT,Pressure Vessel Data Sheet.xlsx,설비포탈",522,522-C-111,FIXED EQUIPMENT,VESSEL,VERTICAL,FIXED EQUIPMENT|VESSEL|VERTICAL
DOF522007427,1.0PID,"F-501-A122J,HCR팀 - 522-LUBE OIL UNIT,Pressure Vessel Data Sheet.xlsx,설비포탈",522,522-FVD-003,FIXED EQUIPMENT,VESSEL,VERTICAL,FIXED EQUIPMENT|VESSEL|VERTICAL
DOF522007428,1.0PID,"F-501-A122J,HCR팀 - 522-LUBE OIL UNIT,Pressure Vessel Data Sheet.xlsx,설비포탈",522,522-FVD-004,FIXED EQUIPMENT,VESSEL,VERTICAL,FIXED EQUIPMENT|VESSEL|VERTICAL
DOF522007429,1.0PID,"F-501-A122J,HCR팀 - 522-LUBE OIL UNIT,Pressure Vessel Data Sheet.xlsx,설비포탈",522,522-HVD-025,FIXED EQUIPMENT,VESSEL,VERTICAL,FIXED EQUIPMENT|VESSEL|VERTICAL
PJ10177,3.장치및설치,"HCR팀 - 522-LUBE OIL UNIT,설비포탈",522,522-ME-601,FIXED EQUIPMENT,VESSEL,VERTICAL,FIXED EQUIPMENT|VESSEL|VERTICAL
PJ10178,3.장치및설치,"HCR팀 - 522-LUBE OIL UNIT,설비포탈",522,522-ME-602,FIXED EQUIPMENT,VESSEL,VERTICAL,FIXED EQUIPMENT|VESSEL|VERTICAL
DOF522001062,1.0PID,"B7S38-522-A901C,B7S38-522-S0003,Column Data Sheet.xlsx,D-522-A109,HCR팀 - 522-LUBE OIL UNIT,설비포탈",522,522-C-102,FIXED EQUIPMENT,VESSEL,REACTOR,FIXED EQUIPMENT|VESSEL|REACTOR
DOF522001063,1.0PID,"B7S38-522-A901C,B7S38-522-S0003,Column Data Sheet.xlsx,D-522-A110,설비포탈",522,522-C-103,FIXED EQUIPMENT,VESSEL,REACTOR,FIXED EQUIPMENT|VESSEL|REACTOR
DOF522003439,1.0PID,"D-522-A108G,HCR팀 - 522-LUBE OIL UNIT,Pressure Vessel Data Sheet.xlsx,설비포탈",522,522-C-505,FIXED EQUIPMENT,VESSEL,DRUM,FIXED EQUIPMENT|VESSEL|DRUM
DOF522007430,1.0PID,"F-501-A122J,HCR팀 - 522-LUBE OIL UNIT",522,522-HBVD-011,FIXED EQUIPMENT,VESSEL,DRUM,FIXED EQUIPMENT|VESSEL|DRUM
DOF522007431,1.0PID,"D-522-A113,F-501-A122J,HCR팀 - 522-LUBE OIL UNIT",522,522-LBVD-020,FIXED EQUIPMENT,VESSEL,DRUM,FIXED EQUIPMENT|VESSEL|DRUM
DOF522007432,1.0PID,"D-522-A112,F-501-A122J,HCR팀 - 522-LUBE OIL UNIT",522,522-LBVD-019,FIXED EQUIPMENT,VESSEL,DRUM,FIXED EQUIPMENT|VESSEL|DRUM
DOF522007433,1.0PID,"F-501-A122J,HCR팀 - 522-LUBE OIL UNIT",522,522-HBVD-012,FIXED EQUIPMENT,VESSEL,DRUM,FIXED EQUIPMENT|VESSEL|DRUM
DOF522009212,1.0PID,"HCR팀 - 522-LUBE OIL UNIT,LP1867-F,설비포탈",522,522-GC-101A,FIXED EQUIPMENT,VESSEL,DRUM,FIXED EQUIPMENT|VESSEL|DRUM
HB252137,5.설비넷+포탈 설비 ID,설비포탈,522,522-D-101,FIXED EQUIPMENT,VESSEL,DRUM,FIXED EQUIPMENT|VESSEL|DRUM
PJ10160,3.장치및설치,"HCR팀 - 522-LUBE OIL UNIT,설비포탈",522,522-GC-101B,FIXED EQUIPMENT,VESSEL,DRUM,FIXED EQUIPMENT|VESSEL|DRUM
RE10001,1.0PID,D-522-A108D,522,522-F-101A-BURN-24,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10002,1.0PID,D-522-A108D,522,522-F-101A-BURN-23,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10003,1.0PID,D-522-A108D,522,522-F-101A-BURN-22,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10004,1.0PID,D-522-A108D,522,522-F-101A-BURN-21,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10005,1.0PID,D-522-A108D,522,522-F-101A-BURN-20,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10006,1.0PID,D-522-A108D,522,522-F-101A-BURN-19,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10007,1.0PID,D-522-A108D,522,522-F-101A-BURN-18,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10008,1.0PID,D-522-A108D,522,522-F-101A-BURN-17,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10009,1.0PID,D-522-A108D,522,522-F-101A-BURN-16,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10010,1.0PID,D-522-A108D,522,522-F-101A-BURN-15,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10011,1.0PID,D-522-A108D,522,522-F-101A-BURN-14,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10012,1.0PID,D-522-A108D,522,522-F-101A-BURN-13,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10013,1.0PID,D-522-A108D,522,522-F-101A-BURN-12,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10014,1.0PID,D-522-A108D,522,522-F-101A-BURN-11,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10015,1.0PID,D-522-A108D,522,522-F-101A-BURN-10,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10016,1.0PID,D-522-A108D,522,522-F-101A-BURN-09,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10017,1.0PID,D-522-A108D,522,522-F-101A-BURN-08,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10018,1.0PID,D-522-A108D,522,522-F-101A-BURN-07,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10019,1.0PID,D-522-A108D,522,522-F-101A-BURN-06,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10020,1.0PID,D-522-A108D,522,522-F-101A-BURN-05,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10021,1.0PID,D-522-A108D,522,522-F-101A-BURN-04,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10022,1.0PID,D-522-A108D,522,522-F-101A-BURN-03,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10023,1.0PID,D-522-A108D,522,522-F-101A-BURN-02,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10024,1.0PID,D-522-A108D,522,522-F-101A-BURN-01,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10025,1.0PID,D-522-A108E,522,522-F-101B-BURN-24,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10026,1.0PID,D-522-A108E,522,522-F-101B-BURN-23,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10027,1.0PID,D-522-A108E,522,522-F-101B-BURN-22,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10028,1.0PID,D-522-A108E,522,522-F-101B-BURN-21,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10029,1.0PID,D-522-A108E,522,522-F-101B-BURN-20,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10030,1.0PID,D-522-A108E,522,522-F-101B-BURN-19,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10031,1.0PID,D-522-A108E,522,522-F-101B-BURN-18,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10032,1.0PID,D-522-A108E,522,522-F-101B-BURN-17,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10033,1.0PID,D-522-A108E,522,522-F-101B-BURN-16,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10034,1.0PID,D-522-A108E,522,522-F-101B-BURN-15,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10035,1.0PID,D-522-A108E,522,522-F-101B-BURN-14,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10036,1.0PID,D-522-A108E,522,522-F-101B-BURN-13,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10037,1.0PID,D-522-A108E,522,522-F-101B-BURN-12,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10038,1.0PID,D-522-A108E,522,522-F-101B-BURN-11,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10039,1.0PID,D-522-A108E,522,522-F-101B-BURN-10,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10040,1.0PID,D-522-A108E,522,522-F-101B-BURN-09,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10041,1.0PID,D-522-A108E,522,522-F-101B-BURN-08,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10042,1.0PID,D-522-A108E,522,522-F-101B-BURN-07,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10043,1.0PID,D-522-A108E,522,522-F-101B-BURN-06,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10044,1.0PID,D-522-A108E,522,522-F-101B-BURN-05,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10045,1.0PID,D-522-A108E,522,522-F-101B-BURN-04,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10046,1.0PID,D-522-A108E,522,522-F-101B-BURN-03,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10047,1.0PID,D-522-A108E,522,522-F-101B-BURN-02,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10048,1.0PID,D-522-A108E,522,522-F-101B-BURN-01,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10049,1.0PID,D-522-A207B,522,522-F-102-BURN-01,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10050,1.0PID,D-522-A207B,522,522-F-102-BURN-02,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10051,1.0PID,D-522-A207B,522,522-F-102-BURN-03,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10052,1.0PID,D-522-A207B,522,522-F-102-BURN-04,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10053,1.0PID,D-522-A207B,522,522-F-102-BURN-05,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10054,1.0PID,D-522-A207B,522,522-F-102-BURN-06,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10055,1.0PID,D-522-A207E,522,522-F-102A-BURN-01,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10056,1.0PID,D-522-A207E,522,522-F-102A-BURN-02,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10057,1.0PID,D-522-A207E,522,522-F-102A-BURN-03,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10058,1.0PID,D-522-A207E,522,522-F-102A-BURN-04,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10059,1.0PID,D-522-A207E,522,522-F-102A-BURN-05,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
RE10060,1.0PID,D-522-A207E,522,522-F-102A-BURN-06,FIXED EQUIPMENT,BURNER,BURNER,FIXED EQUIPMENT|BURNER|BURNER
DOF522002215,1.0PID,"B7T35-522-A205A,HCR팀 - 522-LUBE OIL UNIT,Shell and Tube Heat Exchanger Data Sheet.xlsx,설비포탈",522,522-E-113,FIXED EQUIPMENT,HEAT EXCHANGERS,FIXED STRAIGHT-TUBE,FIXED EQUIPMENT|HEAT EXCHANGERS|FIXED STRAIGHT-TUBE
DOF522002269,1.0PID,"B7T35-522-A212A,HCR팀 - 522-LUBE OIL UNIT,Shell and Tube Heat Exchanger Data Sheet.xlsx,설비포탈",522,522-E-112,FIXED EQUIPMENT,HEAT EXCHANGERS,FIXED STRAIGHT-TUBE,FIXED EQUIPMENT|HEAT EXCHANGERS|FIXED STRAIGHT-TUBE
DOF522005455,1.0PID,"D-522-A209A,KW-100909P0368SYP002-100909-000,Shell and Tube Heat Exchanger Data Sheet.xlsx,설비포탈",522,522-E-158B,FIXED EQUIPMENT,HEAT EXCHANGERS,FIXED STRAIGHT-TUBE,FIXED EQUIPMENT|HEAT EXCHANGERS|FIXED STRAIGHT-TUBE
DOF522009176,1.0PID,"D-522-A209A,KW-100909P0368SYP002-100909-000,Shell and Tube Heat Exchanger Data Sheet.xlsx,설비포탈",522,522-E-158A,FIXED EQUIPMENT,HEAT EXCHANGERS,FIXED STRAIGHT-TUBE,FIXED EQUIPMENT|HEAT EXCHANGERS|FIXED STRAIGHT-TUBE
DOF522009196,1.0PID,"HCR팀 - 522-LUBE OIL UNIT,LP1867-F,Shell and Tube Heat Exchanger Data Sheet.xlsx,설비포탈",522,522-GE-101A,FIXED EQUIPMENT,HEAT EXCHANGERS,FIXED STRAIGHT-TUBE,FIXED EQUIPMENT|HEAT EXCHANGERS|FIXED STRAIGHT-TUBE
HH52081,2.0표준,"HCR팀 - 522-LUBE OIL UNIT,Shell and Tube Heat Exchanger Data Sheet.xlsx,설비포탈",522,522-GE-101B,FIXED EQUIPMENT,HEAT EXCHANGERS,FIXED STRAIGHT-TUBE,FIXED EQUIPMENT|HEAT EXCHANGERS|FIXED STRAIGHT-TUBE
PJ10150,3.장치및설치,HCR팀 - 522-LUBE OIL UNIT,522,522-E-158,FIXED EQUIPMENT,HEAT EXCHANGERS,FIXED STRAIGHT-TUBE,FIXED EQUIPMENT|HEAT EXCHANGERS|FIXED STRAIGHT-TUBE
DOF522000320,1.0PID,"522-E-151.xls,B7S38-522-A711,HCR팀 - 522-LUBE OIL UNIT,Shell and Tube Heat Exchanger Data Sheet.xlsx,설비포탈",522,522-E-151,FIXED EQUIPMENT,HEAT EXCHANGERS,FLOATING STRAIGHT-TUBE,FIXED EQUIPMENT|HEAT EXCHANGERS|FLOATING STRAIGHT-TUBE
DOF522000402,1.0PID,"522-E-152.xls,B7S38-522-A721,HCR팀 - 522-LUBE OIL UNIT,Shell and Tube Heat Exchanger Data Sheet.xlsx,설비포탈",522,522-E-152,FIXED EQUIPMENT,HEAT EXCHANGERS,FLOATING STRAIGHT-TUBE,FIXED EQUIPMENT|HEAT EXCHANGERS|FLOATING STRAIGHT-TUBE
DOF522002333,1.0PID,"D-522-A105,Shell and Tube Heat Exchanger Data Sheet.xlsx,설비포탈",522,522-E-101E,FIXED EQUIPMENT,HEAT EXCHANGERS,FLOATING STRAIGHT-TUBE,FIXED EQUIPMENT|HEAT EXCHANGERS|FLOATING STRAIGHT-TUBE
DOF522002334,1.0PID,"D-522-A105,Shell and Tube Heat Exchanger Data Sheet.xlsx,설비포탈",522,522-E-101D,FIXED EQUIPMENT,HEAT EXCHANGERS,FLOATING STRAIGHT-TUBE,FIXED EQUIPMENT|HEAT EXCHANGERS|FLOATING STRAIGHT-TUBE
DOF522002430,1.0PID,"D-522-A105,HCR팀 - 522-LUBE OIL UNIT,Shell and Tube Heat Exchanger Data Sheet.xlsx,설비포탈",522,522-E-101A,FIXED EQUIPMENT,HEAT EXCHANGERS,FLOATING STRAIGHT-TUBE,FIXED EQUIPMENT|HEAT EXCHANGERS|FLOATING STRAIGHT-TUBE
DOF522002431,1.0PID,"D-522-A105,HCR팀 - 522-LUBE OIL UNIT,Shell and Tube Heat Exchanger Data Sheet.xlsx,설비포탈",522,522-E-101C,FIXED EQUIPMENT,HEAT EXCHANGERS,FLOATING STRAIGHT-TUBE,FIXED EQUIPMENT|HEAT EXCHANGERS|FLOATING STRAIGHT-TUBE
DOF522002432,1.0PID,"D-522-A105,HCR팀 - 522-LUBE OIL UNIT,Shell and Tube Heat Exchanger Data Sheet.xlsx,설비포탈",522,522-E-101B,FIXED EQUIPMENT,HEAT EXCHANGERS,FLOATING STRAIGHT-TUBE,FIXED EQUIPMENT|HEAT EXCHANGERS|FLOATING STRAIGHT-TUBE
DOF522004080,1.0PID,"522-E-106A~B~C.xls,D-522-A205,HCR팀 - 522-LUBE OIL UNIT,Shell and Tube Heat Exchanger Data Sheet.xlsx,설비포탈",522,522-E-106A,FIXED EQUIPMENT,HEAT EXCHANGERS,FLOATING STRAIGHT-TUBE,FIXED EQUIPMENT|HEAT EXCHANGERS|FLOATING STRAIGHT-TUBE
DOF522004081,1.0PID,"D-522-A205,HCR팀 - 522-LUBE OIL UNIT,Shell and Tube Heat Exchanger Data Sheet.xlsx,설비포탈",522,522-E-106D,FIXED EQUIPMENT,HEAT EXCHANGERS,FLOATING STRAIGHT-TUBE,FIXED EQUIPMENT|HEAT EXCHANGERS|FLOATING STRAIGHT-TUBE
DOF522004096,1.0PID,"522-E-106A~B~C.xls,D-522-A205,HCR팀 - 522-LUBE OIL UNIT,Shell and Tube Heat Exchanger Data Sheet.xlsx,설비포탈",522,522-E-106C,FIXED EQUIPMENT,HEAT EXCHANGERS,FLOATING STRAIGHT-TUBE,FIXED EQUIPMENT|HEAT EXCHANGERS|FLOATING STRAIGHT-TUBE
DOF522004097,1.0PID,"522-E-106A~B~C.xls,D-522-A205,HCR팀 - 522-LUBE OIL UNIT,Shell and Tube Heat Exchanger Data Sheet.xlsx,설비포탈",522,522-E-106B,FIXED EQUIPMENT,HEAT EXCHANGERS,FLOATING STRAIGHT-TUBE,FIXED EQUIPMENT|HEAT EXCHANGERS|FLOATING STRAIGHT-TUBE
DOF522005416,1.0PID,"D-522-A209A,HCR팀 - 522-LUBE OIL UNIT,Shell and Tube Heat Exchanger Data Sheet.xlsx,설비포탈",522,522-E-154,FIXED EQUIPMENT,HEAT EXCHANGERS,FLOATING STRAIGHT-TUBE,FIXED EQUIPMENT|HEAT EXCHANGERS|FLOATING STRAIGHT-TUBE
DOF522005432,1.0PID,"D-522-A209A,HCR팀 - 522-LUBE OIL UNIT,Shell and Tube Heat Exchanger Data Sheet.xlsx,설비포탈",522,522-E-155,FIXED EQUIPMENT,HEAT EXCHANGERS,FLOATING STRAIGHT-TUBE,FIXED EQUIPMENT|HEAT EXCHANGERS|FLOATING STRAIGHT-TUBE
DOF522005507,1.0PID,"522-E-111.xls,D-522-A210,HCR팀 - 522-LUBE OIL UNIT,Shell and Tube Heat Exchanger Data Sheet.xlsx,설비포탈",522,522-E-111,FIXED EQUIPMENT,HEAT EXCHANGERS,FLOATING STRAIGHT-TUBE,FIXED EQUIPMENT|HEAT EXCHANGERS|FLOATING STRAIGHT-TUBE
DOF522005999,1.0PID,"D-522-A214A,HCR팀 - 522-LUBE OIL UNIT,Shell and Tube Heat Exchanger Data Sheet.xlsx,설비포탈",522,522-E-114,FIXED EQUIPMENT,HEAT EXCHANGERS,FLOATING STRAIGHT-TUBE,FIXED EQUIPMENT|HEAT EXCHANGERS|FLOATING STRAIGHT-TUBE
