Model,SITE,공정번호(취합열),,2팀검사원,일신1차,Remark
GNH,/P:GR700:GSB03:PEQUI,720,,720,720,
GNH,/P:GR700:GSB03:PIPEUG,"720,732",,"720,732","720,732",
GNH,/P:GR700:RCB01:EQUI,"720,721",,"720,721","720,721",
GNH,/P:GR700:RCB01:PEQUI,720,,720,720,
GNH,/P:GR700:RCB01:PIPE,721,,721,721,
GNH,/P:GR700:RCB01:PIPEUG,732,,732,732,
GNH,/P:GR700:RCB07:EQUI,716,,716,716,
GNH,/P:GR700:RCB07:PEQUI,716,,716,716,
GNH,/P:GR700:RCB07:PIPE,721,,721,721,
GNH,/P:GR700:RCB07:PIPEUG,"716,721",,"716,721","716,721",
GNH,/PIPING-CPP,716,,716,716,
GNH,/PIPING-GS_SCOPE,716,,716,716,
GNH,/PIPING-HOLD,716,,716,716,
GNH,/PIPING-POND,716,,716,716,
GNH,/PIPING-WWT,716,,716,716,
GNH,/PKG:FURN:EQUI,712,,712,712,
GNH,/PKG:FURN:ESTRU,712,,712,712,
GNH,/PKG:FURN:PEQUI,712,,712,712,
GNH,/PKG:FURN:PIPE,712,,712,712,
GNH,/S:GR100:MCOA1:PIPEAG,712,,712,712,
GNH,/S:GR100:MCOA1:PIPEUG,712,,712,712,
GNH,/S:GR100:MCOA2:PIPEAG,712,,712,712,
GNH,/S:GR100:MCOA2:PIPEUG,712,,712,712,
GNH,/S:GR100:MCOB1:PIPEAG,712,,712,712,
GNH,/S:GR100:MCOB1:PIPEUG,712,,712,712,
GNH,/S:GR100:MCOB2:PIPEAG,712,,712,712,
GNH,/S:GR100:MCOB2:PIPEUG,712,,712,712,
GNH,/S:GR100:MFURA:PIPEAG,712,,712,712,
GNH,/S:GR100:MFURA:PIPEUG,712,,712,712,
GNH,/S:GR100:MHOA1:PIPEAG,712,,712,712,
GNH,/S:GR100:MHOA1:PIPEUG,712,,712,712,
GNH,/S:GR100:MHOA2:PIPEAG,712,,712,712,
GNH,/S:GR100:MHOA2:PIPEUG,712,,712,712,
GNH,/S:GR100:MPHUA:PIPEAG,714,,714,714,
GNH,/S:GR100:MPHUA:PIPEUG,"712,714",,"712,714","712,714",
GNH,/S:GR200:PPRAA:PIPEAG,732,,732,732,
GNH,/S:GR200:PPRAA:PIPEUG,732,,732,732,
GNH,/S:GR300:UAIRS:PIPEAG,716,,716,716,
GNH,/S:GR300:UCONS:PIPEAG,716,,716,716,
GNH,/S:GR300:UCONS:PIPEUG,716,,716,716,
GNH,/S:GR300:UCTMS:PIPEAG,716,,716,716,
GNH,/S:GR300:UCTMS:PIPEUG,716,,716,716,
GNH,/S:GR300:UCTPS:PIPEAG,716,,716,716,
GNH,/S:GR300:UCTPS:PIPEUG,716,,716,716,
GNH,/S:GR300:URTOS:PIPEAG,716,,716,716,
GNH,/S:GR300:URTOS:PIPEUG,716,,716,716,
GNH,/S:GR300:URWTK:PIPEAG,716,,716,716,
GNH,/S:GR300:URWTK:PIPEUG,716,,716,716,
GNH,/S:GR300:URWTS:PIPEAG,716,,716,716,
GNH,/S:GR300:URWTS:PIPEUG,716,,716,716,
GNH,/S:GR300:UTPRA:CIVIL,716,,716,716,
GNH,/S:GR300:UWAOS:PIPEAG,716,,716,716,
GNH,/S:GR300:UWAOS:PIPEUG,716,,716,716,
GNH,/S:GR300:UWWTK:PIPEAG,716,,716,716,
GNH,/S:GR300:UWWTK:PIPEUG,716,,716,716,
GNH,/S:GR300:UWWTS:PIPEAG,716,,716,716,
GNH,/S:GR300:UWWTS:PIPEUG,716,,716,716,
GNH,/S:GR400:DBWTK:PIPEAG,"720,721",,"720,721","720,721",
GNH,/S:GR400:DBWTK:PIPEUG,"720,721",,"720,721","720,721",
GNH,/S:GR400:IFRTK:PIPEAG,721,,721,721,
GNH,/S:GR400:IFRTK:PIPEUG,"720,721",,"720,721","720,721",
GNH,/S:GR400:OFLAS:PIPEUG,"720,721",,"720,721","720,721",
GNH,/S:GR400:SCTKP:PIPEAG,"720,721",,"720,721","720,721",
GNH,/S:GR400:SCTKP:PIPEUG,"720,721",,"720,721","720,721",
GNH,/S:GR400:SPTKE:PIPEAG,"720,721",,"720,721","720,721",
GNH,/S:GR400:SPTKE:PIPEUG,"720,721",,"720,721","720,721",
GNH,/S:GR400:SPTKN:PIPEUG,720,,720,720,
GNH,/S:GR400:SPTKP:PIPEUG,"720,721",,"720,721","720,721",
GNH,/S:GR400:WHARF:PIPEUG,"721,724",,"721,724","721,724",
GNH,/S:GR700:RCB01:PIPEUG,720,,720,720,
